numero,Cenario,Teste,nome,mutacao,elite,generation,population_size,step,FO_1,Tempo_1,Desv_1,FO_2
25,saida_,revistaA_4_numero_2_3_4_5.txt,saida_revistaA_4_numero_2_3_4_5.txt,20,10,2000,1000,10,,,,
26,saida_,revistaA_constante_10.txt,saida_revistaA_constante_10.txt,20,10,2000,1000,10,,,,
27,saida_,revistaA_constante_11.txt,saida_revistaA_constante_11.txt,20,10,2000,1000,10,,,,
28,saida_,revistaA_constante_12.txt,saida_revistaA_constante_12.txt,20,10,2000,1000,10,,,,
29,saida_,revistaA_constante_14.txt,saida_revistaA_constante_14.txt,20,10,2000,1000,10,,,,
30,saida_,revistaA_constante_5.txt,saida_revistaA_constante_5.txt,20,10,2000,1000,10,,,,
31,saida_,revistaA_constante_6.txt,saida_revistaA_constante_6.txt,20,10,2000,1000,10,,,,
32,saida_,revistaA_constante_7.txt,saida_revistaA_constante_7.txt,20,10,2000,1000,10,,,,
33,saida_,revistaA_constante_8.txt,saida_revistaA_constante_8.txt,20,10,2000,1000,10,,,,
34,saida_,revistaA_constante_9.txt,saida_revistaA_constante_9.txt,20,10,2000,1000,10,,,,
35,saida_,revistaA_sazonal_14_5_10.txt,saida_revistaA_sazonal_14_5_10.txt,20,10,2000,1000,10,,,,
36,saida_,revistaA_sazonal_16_14_12.txt,saida_revistaA_sazonal_16_14_12.txt,20,10,2000,1000,10,,,,
37,saida_,revistaA_sazonal_5_6_7.txt,saida_revistaA_sazonal_5_6_7.txt,20,10,2000,1000,10,,,,
38,saida_,revistaA_sazonal_5_8_11.txt,saida_revistaA_sazonal_5_8_11.txt,20,10,2000,1000,10,,,,
39,saida_,revistaA_sazonal_6_10_5.txt,saida_revistaA_sazonal_6_10_5.txt,20,10,2000,1000,10,,,,
40,saida_,revistaB_3_numero_1_2_5.txt,saida_revistaB_3_numero_1_2_5.txt,20,10,2000,1000,10,,,,
41,saida_,revistaB_3_numero_1_3_4.txt,saida_revistaB_3_numero_1_3_4.txt,20,10,2000,1000,10,,,,
42,saida_,revistaB_3_numero_1_3_5.txt,saida_revistaB_3_numero_1_3_5.txt,20,10,2000,1000,10,,,,
43,saida_,revistaB_3_numero_1_4_5.txt,saida_revistaB_3_numero_1_4_5.txt,20,10,2000,1000,10,,,,
44,saida_,revistaB_3_numero_2_3_4.txt,saida_revistaB_3_numero_2_3_4.txt,20,10,2000,1000,10,,,,
45,saida_,revistaB_3_numero_2_3_5.txt,saida_revistaB_3_numero_2_3_5.txt,20,10,2000,1000,10,,,,
46,saida_,revistaB_3_numero_2_4_5.txt,saida_revistaB_3_numero_2_4_5.txt,20,10,2000,1000,10,,,,
47,saida_,revistaB_3_numero_3_4_5.txt,saida_revistaB_3_numero_3_4_5.txt,20,10,2000,1000,10,,,,
48,saida_,revistaB_4_numero_1_2_3_4.txt,saida_revistaB_4_numero_1_2_3_4.txt,20,10,2000,1000,10,,,,
49,saida_,revistaB_4_numero_1_2_3_5.txt,saida_revistaB_4_numero_1_2_3_5.txt,20,10,2000,1000,10,,,,
50,saida_,revistaB_4_numero_1_2_4_5.txt,saida_revistaB_4_numero_1_2_4_5.txt,20,10,2000,1000,10,,,,
51,saida_,revistaB_4_numero_1_3_4_5.txt,saida_revistaB_4_numero_1_3_4_5.txt,20,10,2000,1000,10,,,,
52,saida_,revistaB_4_numero_2_3_4_5.txt,saida_revistaB_4_numero_2_3_4_5.txt,20,10,2000,1000,10,,,,
53,saida_,revistaB_constante_10.txt,saida_revistaB_constante_10.txt,20,10,2000,1000,10,,,,
54,saida_,revistaB_constante_11.txt,saida_revistaB_constante_11.txt,20,10,2000,1000,10,,,,
55,saida_,revistaB_constante_5.txt,saida_revistaB_constante_5.txt,20,10,2000,1000,10,,,,
56,saida_,revistaB_constante_6.txt,saida_revistaB_constante_6.txt,20,10,2000,1000,10,,,,
57,saida_,revistaB_constante_7.txt,saida_revistaB_constante_7.txt,20,10,2000,1000,10,,,,
58,saida_,revistaB_constante_8.txt,saida_revistaB_constante_8.txt,20,10,2000,1000,10,,,,
59,saida_,revistaB_constante_9.txt,saida_revistaB_constante_9.txt,20,10,2000,1000,10,,,,
60,saida_,revistaB_sazonal_14_5_10.txt,saida_revistaB_sazonal_14_5_10.txt,20,10,2000,1000,10,,,,
61,saida_,revistaB_sazonal_5_6_7.txt,saida_revistaB_sazonal_5_6_7.txt,20,10,2000,1000,10,,,,
62,saida_,revistaB_sazonal_5_8_11.txt,saida_revistaB_sazonal_5_8_11.txt,20,10,2000,1000,10,,,,
63,saida_,revistaB_sazonal_6_10_5.txt,saida_revistaB_sazonal_6_10_5.txt,20,10,2000,1000,10,,,,
